ID	Название (EN)	Название (RU)	Категория	Домен/Подкатегория	Подтип	Код подтипа	Формулировка	Механизм нарушения	Пример	Связанные ошибки	Диагностический вопрос	Психологический источник	Статус	Источник (Texas ID)	Вторичный код (Кат.3)
2.1.2.7	Name-Calling	Навешивание ярлыков	2 - Домены	2.1 Распознавание	Замена объекта (A→B)	2.1.2	Любое несогласие объявляется расизмом/ненавистью; опровержение аргумента простым ярлыком	Замена объекта: вместо аргумента (A) навешивается ярлык на оппонента (B). Ярлык заменяет анализ.	«Он придурок, точка»; «это заблуждение» без объяснения почему	2.1.2.1, Reductionism	Отвечаю ли я на аргумент или просто навешиваю ярлык?	Трайбализм, cognitive shortcuts	Черновик	Name-Calling	
2.1.2.8	Olfactory Rhetoric	Обонятельная риторика	2 - Домены	2.1 Распознавание	Замена объекта (A→B)	2.1.2	Маргинализация оппонентов на основании их предполагаемого запаха или «грязи»	Замена объекта: вместо аргументов оценивается воображаемый запах оппонента. Дегуманизация через отвращение.	«Поговорю с вами, когда будете выглядеть прилично»; «От этого предложения дурно пахнет» — вместо разбора	2.1.2.1, Othering	Оцениваю ли я аргументы или физические характеристики оппонента?	Disgust response, prejudice	Черновик	Olfactory Rhetoric	
2.1.2.9	Othering	Отчуждение / «Они не такие, как мы»	2 - Домены	2.1 Распознавание	Замена объекта (A→B)	2.1.2	Факты и аргументы отвергаются, потому что их источник «не такой, как мы»	Замена объекта: вместо аргументов оценивается принадлежность к «чужой» группе. Крайняя форма — дегуманизация.	«Стажёрам отдых не нужен — молодые, привыкли»; «у них всё иначе — с ними нельзя как с нами»	2.1.2.5, 2.1.2.7, Dehumanization	Рассматриваю ли я аргументы или отвергаю из-за «чуждости» источника?	Xenophobia, in-group bias	Черновик	Othering	
2.1.3.1	Availability Bias	Ошибка доступности / Эффект якоря	2 - Домены	2.1 Распознавание	Фильтрация данных	2.1.3	Непропорциональное внимание к информации, которая легко доступна, игнорирование более широких данных	Фильтрация на входе: какие данные мы «видим» определяется их доступностью в памяти, а не релевантностью. Первая или последняя полученная информация получает непропорциональный вес.	«Мы знаем из опыта, что это не работает» — где «опыт» означает последнюю местную попытку, игнорируя успешный опыт других мест	2.1.3, 2.4.4	Основываю ли я вывод на том, что легче вспомнить, или на полной картине?	Availability heuristic, anchoring	Черновик	Availability Bias	
2.1.3.2	Disciplinary Blinders	Дисциплинарные шоры	2 - Домены	2.1 Распознавание	Фильтрация данных	2.1.3	Автоматическое игнорирование релевантных данных из-за того, что они приходят извне своей дисциплины	Фильтрация на входе: данные отсеиваются не по релевантности, а по источнику. «Это не из нашей области» — критерий, не связанный с истинностью.	«Это может быть релевантно, но это совсем не то, чем мы занимаемся в нашей области сейчас»	2.1.3.1, 2.1.2.3	Отвергаю ли я информацию из-за её источника или из-за её содержания?	Профессиональная идентичность, in-group bias	Черновик	Disciplinary Blinders	
2.1.3.3	Half Truth / Card Stacking	Полуправда / Подтасовка	2 - Домены	2.1 Распознавание	Фильтрация данных	2.1.3	Сознательный отбор только той информации, которая поддерживает позицию, при умолчании о ключевых деталях	Фильтрация: каждый отдельный факт истинен, но целое ложно из-за намеренных упущений. Правда сказана, но важное скрыто.	Объявление о квартире: «солнечная сторона, тихие соседи» — с умолчанием о трассе под окнами	2.1.3.1, 4.1	Какая информация могла быть опущена? Изменила бы она картину?	Желание убедить, избирательное представление	Черновик	Half Truth	
2.1.3.4	Lying with Statistics	Ложь со статистикой	2 - Домены	2.1 Распознавание	Фильтрация данных	2.1.3	Злоупотребление истинными цифрами для «доказательства» несвязанных утверждений	Фильтрация и искажение: данные истинны, но представлены так, что создают ложное впечатление. Включает «Tiny Percentage Fallacy».	«Образование никогда не было дешевле — как процент от национального долга, оно стоит меньше, чем в 1965!»	2.1.3.3, 2.5.4	Релевантна ли база сравнения? Не скрывает ли процент абсолютную величину?	Математическая неграмотность аудитории	Черновик	Lying with Statistics	
2.1.3.5	NIMBY Fallacy	Ошибка NIMBY / «Не на моём заднем дворе»	2 - Домены	2.1 Распознавание	Фильтрация данных	2.1.3	Проблема, которая не рядом или не видна, «исчезла» и перестала существовать	Фильтрация: проблема игнорируется, если физически удалена или скрыта из медиа. Проблема не решена — только перемещена.	«Свалка городу нужна — но не на нашей улице»; проблему не решают — переносят к другим	2.1.3.1, 2.6.4.3	Решена ли проблема или только перемещена из поля зрения?	Out of sight, out of mind	Черновик	NIMBY Fallacy	
2.1.4.1	Mind-Reading	Чтение мыслей	2 - Домены	2.1 Распознавание	Проекция	2.1.4	Спекуляция о мыслях, эмоциях и мотивах другого человека с претензией на точное знание	Проекция: собственные интерпретации чужих мыслей принимаются за факт. Спекуляция выдаётся за знание.	«Начальнику на самом деле плевать на команду» — безосновательное утверждение о чужих мотивах	2.1.4, 2.1.2.2	Откуда я знаю, что этот человек думает? Это факт или моя интерпретация?	Overconfidence, projection	Черновик	Mind-Reading	
2.1.4.2	Pollyanna Principle / Projection Bias	Принцип Поллианны / Проекция сходства	2 - Домены	2.1 Распознавание	Проекция	2.1.4	Автоматическое предположение, что все разделяют наши желания, интересы и мораль	Проекция: свои ценности приписываются другим без проверки. Отрицает реальность различий и способность к злу.	«Все ведь хотят того же, что и мы» — свои мотивы спроецированы на другую сторону переговоров	2.1.2.9, 2.1.4.1	Откуда я знаю, что они хотят того же? Проверил ли я?	False consensus effect, projection	Черновик	Pollyanna Principle	
2.1.5.1	Brainwashing	Промывание мозгов / Пропаганда	2 - Домены	2.1 Распознавание	Искажение источника	2.1.5	Фантазия о том, что враг может мгновенно «радикализировать» аудиторию своей неодолимо убедительной «пропагандой»	Деформация объекта: обычная коммуникация противника искажается до «магически убедительной пропаганды». Это позволяет не рассматривать аргументы по существу.	«Не смотри на этот сайт! Они пытаются промыть тебе мозги своей пропагандой!»	2.1.1, 1.B.6	Является ли «промывание мозгов» описанием реального механизма или способом не рассматривать аргументы?	Страх, трайбализм, проекция	Черновик	Brainwashing	
2.2.1.1	Actions have Consequences	«Действия имеют последствия»	2 - Домены	2.2 Прояснение	Дрейф значения	2.2.1	Назначенное наказание описывается как «естественное последствие», смешивая причинность и волю	Термин «последствие» дрейфует: в посылке означает естественную причинно-следственную связь, в выводе — произвольно назначенное наказание. Эквивокация придаёт наказанию ложный этос неизбежности.	«Последствия твоего поведения могут включать отчисление» — отчисление не следствие, а назначенное наказание	2.2.1, 2.3.5.3	Это естественное следствие или назначенное решение? Мог ли кто-то решить иначе?	Желание снять с себя ответственность за решение	Черновик	Actions have Consequences	
2.2.1.2	Diminished Responsibility	Уменьшенная ответственность	2 - Домены	2.2 Прояснение	Дрейф значения	2.2.1	Применение юридического понятия (смягчение наказания) к реальности в целом	Дрейф значения: «уменьшенная ответственность» в юридическом смысле (меньше наказание) превращается в «действие не считается». Но последствия реальны независимо от состояния деятеля.	«Да, я превысил скорость и убил человека, но я был пьян, так что это не так страшно»	2.2.1.1	Влияет ли моё состояние на реальность последствий или только на меру наказания?	Самооправдание, избегание ответственности	Черновик	Diminished Responsibility	
2.2.1.3	Equivocation	Эквивокация / Двусмысленность	2 - Домены	2.2 Прояснение	Дрейф значения	2.2.1	Намеренное использование слов в ином смысле, чем поймёт аудитория, или отказ определять термины	Термин сознательно используется в двух значениях: говорящий имеет в виду одно, аудитория понимает другое. Формально «не солгал», фактически — обманул.	«Ничего нет лучше истины; бутерброд лучше, чем ничего, — значит, бутерброд лучше истины» — «ничего» меняет смысл посреди хода	2.2.1.1, 2.2.2	В каком именно смысле используется это слово? Совпадает ли моё понимание с намерением говорящего?	Желание обмануть без формальной лжи	Черновик	Equivocation	
2.2.1.4	Etymological Fallacy	Этимологическая ошибка	2 - Домены	2.2 Прояснение	Дрейф значения	2.2.1	Ложные выводы из происхождения слова или его значения в другом языке	Значение слова в современном использовании подменяется его этимологией. Слова меняют значение; происхождение не определяет текущий смысл.	«Я не буду есть рыбу! Французское 'poisson' похоже на английское 'poison' — это что-то да значит!»	2.2.1, 2.3.5.4	Релевантно ли происхождение слова для его текущего значения?	Магическое мышление о словах	Черновик	Etymological Fallacy	
2.2.1.5	Heroes All	Все герои / «Каждый — победитель»	2 - Домены	2.2 Прояснение	Дрейф значения	2.2.1	Каждый выше среднего или экстраординарен; все — герои, все — победители	Дрейф значения: слова «герой», «победитель» теряют смысл при универсальном применении. Если каждый — герой, слово больше ничего не означает. Инфляция понятия.	Каждый участник научной ярмарки получает приз; каждый солдат — национальный герой	2.4.5.1, 1.B.2	Сохраняет ли слово своё значение при таком применении? Если все — X, что означает X?	Нежелание огорчать, ложная доброта	Черновик	Heroes All	
2.2.1.6	Political Correctness	Политкорректность	2 - Домены	2.2 Прояснение	Дрейф значения	2.2.1	Предположение, что природу вещи можно изменить, изменив её название	Подмена через переименование: смена термина создаёт иллюзию решения. «Жертвы» → «выжившие» — преступники исчезают.	«Питомцы» → «компаньоны животных»; «жертвы» → «выжившие» (преступники исчезают)	2.2.2.1, 2.6.4.8	Меняет ли переименование реальность? Или только восприятие?	Magical thinking about language	Черновик	Political Correctness	
2.2.1.7	Reifying / Hypostatization	Реификация / Овеществление абстракций	2 - Домены	2.2 Прояснение	Дрейф значения	2.2.1	Обращение с интеллектуальными категориями как с реальными «вещами»	Абстракция принимается за реальность: категория становится «вещью». Карта путается с территорией.	«Рынок решил»; «Наука говорит» — абстракции, взятые деятелями	2.6.1.3, 2.2.1	Это реальная сущность или интеллектуальная категория?	Abstraction confusion	Черновик	Reifying	
2.2.2.1	Passive Voice Fallacy	Ошибка страдательного залога	2 - Домены	2.2 Прояснение	Сокрытие агента	2.2.2	Сокрытие активного агента за грамматическим пассивом, создание иллюзии неизбежности	Неполное прояснение: кто действует — скрыто. «Было решено вас уволить» вместо «я решил». Ответственность размывается.	«Были допущены ошибки» вместо «мы ошиблись»; «ваза разбилась» вместо «я разбил» — деятель спрятан залогом	Political Correctness, 2.1.2	Кто именно совершил действие? Почему агент скрыт?	Избегание ответственности, bureaucratic language	Черновик	Passive Voice Fallacy	
2.2.3.1	Either/Or Reasoning	Ложная дилемма / Чёрно-белое мышление	2 - Домены	2.2 Прояснение	Неполнота анализа	2.2.3	Ложное предложение только двух вариантов, когда существует широкий спектр альтернатив	Пространство возможностей не исследовано: из множества вариантов представлены только два крайних. Промежуточные и альтернативные варианты игнорируются.	«Либо ты на 100% с нами, либо ты враг!»; «Ты за качество или за скорость?» — будто третьего не дано	1.A.4, 2.5.4	Действительно ли есть только два варианта? Какие ещё возможности я не рассмотрел?	Когнитивная простота, поляризация	Черновик	Either/Or Reasoning	
2.2.3.2	Plain Truth Fallacy / KISS Principle	Ошибка простой истины	2 - Домены	2.2 Прояснение	Неполнота анализа	2.2.3	Предпочтение простых объяснений сложным, но более близким к истине	Неполное прояснение: сложность редуцируется до «простой истины». Моно-каузальные объяснения вместо многофакторных.	«Просто скажи мне Простую Истину»; «Не нужна философия — просто скажи почему»	2.2.4.1, Snow Job	Достаточно ли простое объяснение для этой сложности?	Cognitive laziness, salience bias	Черновик	Plain Truth Fallacy	
2.2.3.3	Reductionism / Sloganeering	Редукционизм / Лозунги	2 - Домены	2.2 Прояснение	Неполнота анализа	2.2.3	Простые ответы или лозунги на сложные вопросы	Неполное прояснение: сложность редуцируется до слогана. Упрощение обманывает.	«Если перчатка не подходит — оправдайте»; «Голосуйте за Смита — он вернёт работу!»	2.2.3.2, Dog Whistle	Соответствует ли простота ответа сложности вопроса?	Cognitive ease, appeal to simplicity	Черновик	Reductionism	3.4 (преждевременный выход из Д2)
2.2.4.1	Overexplanation / Mansplaining	Переобъяснение / Менсплейнинг	2 - Домены	2.2 Прояснение	Избыточное прояснение	2.2.4	После определённой точки больше объяснений приводит к меньшему пониманию	Парадокс прояснения: избыток деталей затуманивает вместо того, чтобы прояснять.	«Менсплейнинг» — стремление быть самым умным в комнате независимо от реального знания	Snow Job, Plain Truth Fallacy	Помогает ли дополнительное объяснение понять или запутывает?	Need to be right, status display	Черновик	Overexplanation	
2.2.4.2	Snow Job / Information Bias	Завалить информацией	2 - Домены	2.2 Прояснение	Избыточное прояснение	2.2.4	«Доказательство» через заваливание горами документов, которые аудитория не может оценить	Избыток затемняет: информация истинна, но маргинально релевантна. Аудитория сдаётся под давлением объёма.	Горы графиков и таблиц, которые выглядят внушительно, но непроверяемы	2.1.3.4, 2.2.3.2	Релевантна ли вся эта информация? Может ли аудитория её оценить?	Authority through volume	Черновик	Snow Job	
2.3.1.1	Eschatological Fallacy	Эсхатологическая ошибка	2 - Домены	2.3 Выбор рамки	Категориальное несоответствие	2.3.1	Аргументация «Этот мир скоро закончится, поэтому...»	Рамка «конца света» применяется к обычным решениям, снимая обычные критерии оценки. Категориальное несоответствие: эсхатология как основание для практических выводов.	«Раз мир скоро закончится, тебе всё равно не понадобятся сбережения — отдай их мне»	2.3.5, 1.B.9	Является ли «конец света» релевантным основанием для данного решения?	Апокалиптическое мышление	Черновик	Eschatological Fallacy	
2.3.1.2	Measurability Fallacy	Ошибка измеримости	2 - Домены	2.3 Выбор рамки	Категориальное несоответствие	2.3.1	Если что-то нельзя измерить — оно не существует или не заслуживает рассмотрения	Рамка науки/математики применяется к явлениям, которые ей не поддаются. Измеримость становится критерием существования.	Расчёт инфляции не включает бензин, потому что его цена «слишком волатильна»	2.1.3.4, Procrustean Fallacy	Является ли измеримость подходящим критерием? Не искажены ли данные?	Сциентизм, quantomania	Черновик	Measurability	
2.3.1.3	Procrustean Fallacy	Прокрустова ошибка / Насильственная стандартизация	2 - Домены	2.3 Выбор рамки	Категориальное несоответствие	2.3.1	Применение норм стандартизации к изначально разнообразным свободным людям	Рамка промышленной стандартизации для людей: разнообразие загоняется в единый шаблон. Люди не детали.	Маршировка строем, единая форма, гусиный шаг; «объективная» оценка всех по шаблону	2.3.1.2, 2.6.1.3	Уместна ли стандартизация? Не уничтожает ли она существенное разнообразие?	Need for control, order obsession	Черновик	Procrustean Fallacy	
2.3.5.1	Ableism / Con Artist's Fallacy	Эйблизм / Ошибка мошенника	2 - Домены	2.3 Выбор рамки	Нерелевантный критерий	2.3.5	Утверждение, что менее способные, менее удачливые или более доверчивые люди «естественно» заслуживают эксплуатации	Рамка оценки выбрана по нерелевантному критерию: способность/сила/удачливость представляется как моральное основание для распределения благ или права на эксплуатацию.	«Жизнь сурова, надо быть жёстким. Если он дал себя обмануть — сам виноват»	2.3.5.3, 2.3.3	Является ли способность/сила релевантным критерием для данного морального суждения?	Just-world hypothesis, самооправдание	Черновик	Ableism	
2.3.5.2	Affective Fallacy	Аффективная ошибка / «Следуй за сердцем»	2 - Домены	2.3 Выбор рамки	Нерелевантный критерий	2.3.5	Эмоции объявляются самоподтверждающимися и не подлежащими критике: «Я чувствую — значит, это истина»	Рамка оценки: «чувство = истина». Эмоция принимается как критерий истинности, хотя эмоция и истинность — разные категории. Дополнительно: иммунизация от критики.	«Я чувствую, что это правда, значит, это правда. Мои чувства валидны, ты не можешь их оспаривать»	1.B.3, 2.6.4	Является ли моё чувство основанием для истинности утверждения? Подлежит ли утверждение проверке?	Эмоциональное рассуждение	→ Категория 5	Affective Fallacy	
2.3.5.3	Appeal to Nature	Апелляция к природе	2 - Домены	2.3 Выбор рамки	Нерелевантный критерий	2.3.5	«Естественное» = хорошее, «неестественное» = плохое. Природность как критерий качества или моральности.	Рамка оценки выбрана по нерелевантному критерию: «естественность» не связана ни с полезностью, ни с безопасностью, ни с моральностью. Мышьяк естественен, антибиотики — нет.	«Наш чай из 100% органических листьев ядовитого плюща — никаких добавок, только природа!»	2.3.3, 2.3.4	Является ли «естественность» релевантным критерием для данной оценки? Все ли естественное — хорошо?	Романтизация природы, эвристика «натуральное = безопасное»	→ Категория 5	Appeal to Nature	
2.3.5.4	Appeal to Tradition	Апелляция к традиции	2 - Домены	2.3 Выбор рамки	Нерелевантный критерий	2.3.5	«Всегда так было» как аргумент в пользу правильности позиции или практики	Рамка оценки: «древность/традиционность = правильность». Длительность практики не связана с её истинностью или моральной оправданностью. Рабство тоже было традицией.	«У нас всегда вели учёт в тетради — не будем нарушать давнюю традицию»	2.3.5.3, 2.6.3.1	Является ли «так было всегда» релевантным основанием для «так должно быть»?	Status quo bias, ностальгия	→ Категория 5	Appeal to Tradition	
2.3.5.5	Bandwagon Fallacy	Ошибка вагона с оркестром / Апелляция к большинству	2 - Домены	2.3 Выбор рамки	Нерелевантный критерий	2.3.5	«Все так думают/делают» как аргумент в пользу истинности или правильности	Рамка оценки: «популярность = истинность». Количество верящих не связано с истинностью утверждения. Миллионы людей верили, что Земля плоская.	«75% американцев считают, что Боб Ходяк — вор. Это доказывает, что его надо посадить!»	2.3.5.4, 1.B.8, 1.B.1	Является ли количество верящих доказательством истинности?	Conformity bias, social proof	Черновик	Bandwagon Fallacy	
2.3.5.6	Cost Bias	Ошибка стоимости	2 - Домены	2.3 Выбор рамки	Нерелевантный критерий	2.3.5	Оценка качества вещи по её цене или затраченным усилиям, а не по реальным свойствам	Рамка оценки: «дорого/трудно досталось = ценно». Цена или усилия не связаны с качеством или полезностью. Дорогая вещь может быть бесполезной.	«Я тяжело работал за эту машину! Да, она развалюха, но для меня она лучше лимузина миллионера»	2.6.3, 2.3.5.4	Оцениваю ли я вещь по её реальным свойствам или по тому, сколько за неё заплатил?	Sunk cost, самооправдание	Черновик	Cost Bias	
2.3.5.7	'E' for Effort	«Пятёрка за старание» / Благородное усилие	2 - Домены	2.3 Выбор рамки	Нерелевантный критерий	2.3.5	Что-то должно быть правильным/ценным только потому, что в это вложено много усилий или жертв	Рамка оценки: «много усилий = ценно/истинно». Усилия не определяют ни истинность, ни ценность результата. Можно усердно работать над ошибочным проектом.	«Кровь мучеников» — нельзя ставить под сомнение дело, за которое погибли люди	2.3.5.6, 2.6.3.1, 1.B.2	Оцениваю ли я результат или усилия? Делает ли жертва дело правым?	Sunk cost, уважение к жертве	Черновик	'E' for Effort	
2.3.5.8	Mortification	Умерщвление плоти / «Без боли нет победы»	2 - Домены	2.3 Выбор рамки	Нерелевантный критерий	2.3.5	Попытка «подчинить плоть» через экстремальные упражнения, голодание или боль	Рамка «страдание = добро/достижение». Боль как предупреждение интерпретируется как цель. Интенсивность страдания ≠ ценность результата.	Экстремальные «insanity» тренировки не для здоровья, а для «наказания тела»; самобичевание	2.3.5.7, Hedonism	Является ли боль целью или сигналом? Служит ли это реальной цели?	Аскетизм, эндорфиновая зависимость	Черновик	Mortification	
2.3.5.9	Soldiers' Honor Fallacy	Ошибка солдатской чести	2 - Домены	2.3 Выбор рамки	Нерелевантный критерий	2.3.5	Все, кто носил форму и выполнял приказы, заслуживают чести — независимо от дела	Нерелевантный критерий: «выполнял приказы» ≠ «заслуживает чести». Опровергнуто в Нюрнберге.	Почитание исполнителей любой стороны «за службу» — без вопроса, какому делу служили; «он просто делал работу»	2.6.4.4, 2.2.1.5, 1.B.12	За что именно сражался этот солдат?	Deference to authority, tribal loyalty	Черновик	Soldiers' Honor Fallacy	
2.3.6.1	Big 'But' Fallacy	Ошибка «Большого НО» / Особый случай	2 - Домены	2.3 Выбор рамки	Рамка под результат	2.3.6	Провозглашение общего принципа и немедленное его отрицание через «но» для «особого случая»	Рамка (общий принцип) выбирается, но затем ad hoc исключается для конкретного случая без обоснования. «Это особый случай» — не аргумент, а отказ применять заявленную рамку.	«Каждый человек имеет право на суд присяжных. НО ваше преступление настолько ужасно, что оправдывает пожизненное заключение без суда»	2.4.3	Почему этот случай должен быть исключением? Есть ли принципиальное основание?	Самооправдание, когнитивный диссонанс	Черновик	Big 'But' Fallacy	
2.3.6.2	Moral Licensing	Моральная лицензия	2 - Домены	2.3 Выбор рамки	Рамка под результат	2.3.6	Прошлое хорошее поведение или страдание даёт право на аморальный поступок без последствий	Рамка «заслуженности» подменяет моральную оценку. Прошлые заслуги не отменяют моральный статус текущего действия.	«Я был хорошим весь год, так что один плохой поступок не считается»	2.1.2.2, 2.3.6.1	Отменяют ли прошлые заслуги моральный статус текущего действия?	Self-licensing, entitlement	Черновик	Moral Licensing	
2.3.6.3	Moral Superiority	Моральное превосходство / Праведность	2 - Домены	2.3 Выбор рамки	Рамка под результат	2.3.6	Зло не имеет прав, которые Добро обязано уважать; против врага всё позволено	Рамка «праведности» снимает моральные ограничения: раз мы правы, а они злы — им ничего не должны. Отрицание золотого правила.	Инквизиция, пытки — против еретиков всё позволено; «никаких переговоров со злом»	1.B.9, 2.4.3.2	Применяю ли я к «своим» и «чужим» одинаковые моральные стандарты?	Moral disengagement, dehumanization	Черновик	Moral Superiority	
2.3.6.4	Zero Tolerance	Нулевая терпимость	2 - Домены	2.3 Выбор рамки	Рамка под результат	2.3.6	Объявление «чрезвычайной ситуации» для непропорционального ответа	Рамка «чрезвычайности» оправдывает игнорирование справедливости и пропорциональности.	«Один случай каннибализма — нужна федеральная программа с миллионным бюджетом»	1.B.3.7, Dog Whistle, 1.B.8.1	Пропорционален ли ответ масштабу проблемы?	Moral panic, political exploitation	Черновик	Zero Tolerance	
2.4.1.1	False Analogy	Ложная аналогия	2 - Домены	2.4 Сравнение	Ложное уравнивание	2.4.1	Неправильное сравнение двух вещей для получения ложного вывода	Сравнение по нерелевантному признаку: два объекта похожи в одном, но вывод делается о другом. Существенные различия игнорируются.	«Как уличному коту нужно гулять, так и нормальный взрослый не может быть привязан к одному партнёру»	2.3.2, 2.4.2	В чём именно сравниваемые вещи похожи? Релевантно ли это сходство для вывода?	Мышление по аналогии без проверки	Черновик	False Analogy	
2.4.1.2	Scoring / Sports World Fallacy	Ошибка «забить гол» / Спортивная метафора	2 - Домены	2.4 Сравнение	Ложное уравнивание	2.4.1	Неуместное применение спортивной образности к войне или интимности	Ложная аналогия: война или интимность — не игра с «очками». Спортивная рамка скрывает реальные ставки.	«Мы порвали конкурентов в финале переговоров» — спортивная лексика там, где не спорт	2.4.1.1, 2.3.1	Уместна ли спортивная метафора? Что она скрывает?	Machismo, trivialization	Черновик	Scoring	
2.4.1.3	Simpleton's Fallacy	Ошибка простака	2 - Домены	2.4 Сравнение	Ложное уравнивание	2.4.1	«Моё невежество так же хорошо, как твоё знание»	Ложное уравнивание: невежество приравнивается к знанию. Демократия не означает равенство компетенций.	«Мнение каждого одинаково ценно» — даже эксперта и профана; фильм «Форрест Гамп»	2.1.2.6, 2.2.3.2	Равны ли мнения по обоснованности или только по праву быть высказанными?	Anti-intellectualism, false equality	Черновик	Simpleton's Fallacy	
2.4.1.4	Two-Sides Fallacy / False Balance	Ошибка двух сторон / Ложный баланс	2 - Домены	2.4 Сравнение	Ложное уравнивание	2.4.1	Представление сторон как равновесных, когда консенсус поддерживает одну	Ложное уравнивание: научный консенсус и маргинальная позиция представлены как равноценные.	«Земля — шар vs плоская на черепахе. Нужно учить обе версии без предпочтения»	2.4.1.3, 2.2.3	Действительно ли позиции равноценны по обоснованности?	False equivalence, misguided fairness	Черновик	Two-Sides Fallacy	
2.4.3.1	Fundamental Attribution Error	Фундаментальная ошибка атрибуции	2 - Домены	2.4 Сравнение	Нестабильность критериев	2.4.3	Плохое поведение других объясняется их характером, своё — обстоятельствами	Критерии оценки нестабильны: для себя применяется ситуационное объяснение, для других — диспозиционное. Двойной стандарт в атрибуции причин.	«Я встаю в 10 утра, потому что соседи шумят до 2 ночи. А ты встаёшь в 10, потому что ты лентяй»	2.4.3, 2.6.3.2	Применяю ли я одинаковые критерии к себе и к другим?	Fundamental attribution error, self-serving bias	Черновик	Fundamental Attribution Error	
2.4.3.2	Moving the Goalposts	Сдвигание ворот	2 - Домены	2.4 Сравнение	Нестабильность критериев	2.4.3	Требование определённого доказательства, а когда оно предоставлено — требование другого или большего	Критерии сдвигаются: стандарт успеха меняется после достижения. Цель недостижима, потому что постоянно отодвигается.	«Докажите X» → [X доказан] → «Теперь докажите Y, иначе не считается»	2.4.3.1, 2.3.6.3	Менялся ли критерий после выполнения? Достижим ли стандарт в принципе?	Нежелание признать поражение, motivated reasoning	Черновик	Moving the Goalposts	
2.4.3.3	Worst Negates the Bad	«Худшее отменяет плохое»	2 - Домены	2.4 Сравнение	Нестабильность критериев	2.4.3	Плохая ситуация «не так плоха», потому что могло быть хуже	Критерий сдвигается: сравнение с худшим не делает плохое хорошим.	«Плакал без обуви, пока не увидел человека без ног»; «$7.25? В Индии меньше!»	2.4.3.2, 2.4.1	Делает ли существование худшего ситуацию приемлемой?	Relative deprivation, gaslighting	Черновик	Worst Negates the Bad	
2.4.5.1	Hero-Busting	Развенчание героев / «Идеальное — враг хорошего»	2 - Домены	2.4 Сравнение	Сравнение с несуществующим	2.4.5	Поскольку никто не идеален, героев не существует — любой недостаток дисквалифицирует	Сравнение реального человека с недостижимым идеалом. Любое отклонение от совершенства используется для полной дисквалификации.	«У каждого мастера найдётся брак — значит, мастеров не существует»	2.4.5, 2.2.3.1	Сравниваю ли я реального человека с достижимым стандартом или с идеалом?	Цинизм, разочарование	Черновик	Hero-Busting	
2.5.1.1	Non Sequitur	Non sequitur / «Не следует»	2 - Домены	2.5 Вывод	Логический разрыв	2.5.1	Предложение доказательств или выводов, логически не связанных с обсуждаемым вопросом	Вывод не следует из посылок: между A и B нет логической связи, но B предлагается как следствие A.	«Я провалил ваш курс, потому что правительство печатает фиолетовые пятидолларовые купюры!»	2.5.4, 2.5.2.2	Следует ли вывод из посылок? Есть ли логическая связь?	Loose associations, confused thinking	Черновик	Non Sequitur	
2.5.2.1	Job's Comforter Fallacy	Ошибка утешителей Иова / «Карма — сука»	2 - Домены	2.5 Вывод	Причинная ошибка	2.5.2	Любое несчастье должно быть наказанием за чей-то грех — случайности не существует	Ложная причинность: из несчастья выводится вина. «Случилось плохое → кто-то согрешил». Причинная связь постулируется без механизма.	«Сам виноват — к живущим правильно беда не приходит»: страдание прочитано как приговор	1.B.9, Magical Thinking	Есть ли реальная причинная связь между «грехом» и несчастьем?	Just-world hypothesis	Черновик	Job's Comforter Fallacy	
2.5.2.2	Magical Thinking	Магическое мышление	2 - Домены	2.5 Вывод	Причинная ошибка	2.5.2	При достаточной вере, правильных словах или ритуалах законы вселенной будут приостановлены	Ложная причинность: вера/ритуал → желаемый результат. Причинная связь постулируется без механизма. Отрицание предсказуемой вселенной.	«Загадай правильно — и вселенная услышит»; ритуал перед экзаменом вместо подготовки	1.B.9, 2.5.2.1	Есть ли причинный механизм между моими действиями и ожидаемым результатом?	Illusion of control, wishful thinking	Черновик	Magical Thinking	
2.5.2.3	Personalization	Персонализация	2 - Домены	2.5 Вывод	Причинная ошибка	2.5.2	Видеть себя как причину внешнего события, за которое нет ответственности	Ложная причинность: себе приписывается роль в событиях, не связанных с собой. Нет причинного механизма.	«Моя невезуха — метель именно в день нашего фестиваля. Если бы не я, её бы не было!»	2.5.2.1, 2.5.2.2	Есть ли реальный механизм моего влияния на это событие?	Illusion of control, narcissism	Черновик	Personalization	
2.5.2.4	Positive Thinking Fallacy	Ошибка позитивного мышления	2 - Домены	2.5 Вывод	Причинная ошибка	2.5.2	«Позитивное мышление» само по себе склоняет реальность в нашу пользу до действия	Ложная причинность: мысли → реальность без механизма. Часть культовой идеологии, запрещающей «негативные» факты.	«Визуализируй успех — и он придёт»; «Закон притяжения»; отказ обсуждать риски	2.5.2.2, 2.6.4.3	Есть ли механизм, связывающий мои мысли с внешними событиями?	Wishful thinking, illusion of control	Черновик	Positive Thinking Fallacy	
2.5.2.5	Post Hoc Ergo Propter Hoc	После этого — значит вследствие этого	2 - Домены	2.5 Вывод	Причинная ошибка	2.5.2	Если B после A, значит A вызвало B — приписывание причинности совпадениям	Ложная причинность: временнáя последовательность ≠ причинная связь. Корреляция ≠ каузация.	«Петух прокукарекал — и солнце взошло: значит, поднял!»	2.5.2, Clustering Illusion	Есть ли причинный механизм? Или только временнóе совпадение?	Pattern recognition, apophenia	Черновик	Post Hoc Argument	
